ID,Model,OCR,Architecture,Variant,MP-DocVQA,DUDE,LongDocURL,MMLongBench-Doc,,SlideVQA,,Notes
,,,,,ANLS,ANLS,Accuracy,Accuracy,F1,EM,F1,
6,Doc-V*,No,Agentic Pipeline,Doc-V* (GRPO),86.2,64.5,56.3,42.1,-,-,77.2,
7,DocAgent,Yes*,Agentic Pipeline,DocAgent (Claude-3.5-Sonnet),-,-,-,57.3,54.1,-,-,
8,DocDancer,Yes*,Agentic Pipeline,DocDancer (GPT-5.2),-,-,-,57,56.8,-,-,
9,DocLens,Yes,Agentic Pipeline,DocLens (Gemini-2.5-Pro),-,-,-,67.6,-,-,-,Paper reports ALL-accuracy across evidence-source categories; F1 not reported
12,DocReact,No,Agentic Pipeline,DocReact (w/ ColPali),-,-,-,38.29,38.07,54.87,55.04,"Paper reports on MMLongBench-Doc (Ma 2024, arXiv:2407.01523); calls it ""MMLongBench"" colloquially"
20,M2RAG,Yes*,Agentic Pipeline,M[2]RAG top-5,-,-,57.68,39.9,-,-,-,"Paper reports on MMLongBench-Doc (Ma 2024, arXiv:2407.01523); calls it ""MMLongBench"" colloquially"
22,MACT,No,Agentic Pipeline,MACT-MiMo-VL-Series-28B,-,70.8,-,-,47.4,-,83.9,
23,MDocAgent,Yes*,Agentic Pipeline,MDocAgent (top-4),-,-,57.8,31.5,-,-,-,"Metric not specified for MMLongBench, assuming accuracy; Paper reports on MMLongBench-Doc (Ma 2024, arXiv:2407.01523); calls it ""MMLongBench"" colloquially"
33,SimpleDoc,Yes*,Agentic Pipeline,SimpleDoc (3.5 pages),-,-,72.3,60.58,-,-,-,"Paper reports on MMLongBench-Doc (Ma 2024, arXiv:2407.01523); calls it ""MMLongBench"" colloquially"
36,ViDoRAG,Yes*,Agentic Pipeline,ViDoRAG,-,-,-,-,-,-,-,Tested on in-house dataset ViDoSeek (i think)
3,CoR,Yes*,Backbone-Centric MLLM Adaptation,Qwen2.5-VL-CoR-7B,-,-,51.5,37.4,36,-,-,
10,Docopilot,No*,Backbone-Centric MLLM Adaptation,Docopilot-8B,81.3,-,-,28.8,23,-,-,
11,DocR1,No,Backbone-Centric MLLM Adaptation,DocR1,87.45,54.39,-,-,-,-,71.96,"Assuming F1 for SlideVQA, not specified in paper"
13,DocSLM,Yes,Backbone-Centric MLLM Adaptation,DocSLM-2B,70,47.6,-,-,-,-,-,
16,InstructDoc,Yes,Backbone-Centric MLLM Adaptation,InstructDoc (finetuned),-,46.8,-,-,-,37.7,47.3,
18,LayTokenLLM,Yes,Backbone-Centric MLLM Adaptation,LayTokenLLM-8B,74.31,52,-,-,-,-,-,
19,Leopard,No,Backbone-Centric MLLM Adaptation,Leopard-LLaVA-Pro,70.6,43.82,-,-,-,-,37.51,Accuracy for SlideVQA
27,mPLUG-DocOwl2,No,Backbone-Centric MLLM Adaptation,DocOwl2-8B,69.42,46.77,-,-,-,-,-,
34,TextHawk2,No*,Backbone-Centric MLLM Adaptation,TextHawk2,-,-,-,-,-,-,-,Test on non-standard datasets
1,Arctic-TILT,Yes,Page-to-Document Transformer,Arctic-TILT,81.2,58.1,-,25.8,-,55.1,-,
14,GRAM,Yes,Page-to-Document Transformer,GRAM-859M,80.32,51.15,-,-,-,-,-,
15,Hi-VT5,Yes,Page-to-Document Transformer,Hi-VT5 (multipage),62.01,-,-,-,-,-,-,
31,RM-T5,Yes,Page-to-Document Transformer,RM-T5,64.01,-,-,-,-,-,-,
2,AVIR,No,Retriever-Generator,AVIR,84.58,-,-,-,-,60.3,68.9,
4,CREAM,Yes,Retriever-Generator,CREAM,65.32,52.46,-,-,-,-,-,"NGAP for MPDocVQA, Overall (Avg) for DUDE"
5,DFVC,No,Retriever-Generator,DFVC (ColQwen backbone),-,-,-,-,-,-,-,"Retrieval performance, not actual benchmark"
17,KGP,Yes?,Retriever-Generator,KGP,-,-,-,-,-,-,-,"Tested on non-standar datasets (HotpotQA, IIRC, 2WikiMQA, MuSiQue)"
21,M3DocRAG,No,Retriever-Generator,M3DOCRAG (ColPali + Qwen2-VL 7B),84.44,-,-,21,22.6,-,-,
24,MHier-RAG,Yes,Retriever-Generator,MHier-RAG (Qwen-turbo),-,-,55.7,52.3,46,-,-,
25,MLDocRAG,Yes,Retriever-Generator,MLDocRAG,-,-,50.8,47.9,-,-,-,
26,MoLoRAG,No,Retriever-Generator,MoLoRAG+ (Qwen2.5-VL-7B),-,-,51.85,41.01,-,-,-,"Metric not specified for MMLongBench, assuming accuracy; Paper reports on MMLongBench-Doc (Ma 2024, arXiv:2407.01523); calls it ""MMLongBench"" colloquially"
28,MultiDocFusion,Yes,Retriever-Generator,MultiDocFusion,-,-,-,-,-,-,-,"Table 3: Average QA performance, but seems too low"
29,PDF-WuKong,Yes*,Retriever-Generator,PDF-WuKong,76.9,56.1,-,-,-,-,-,
30,RAG-DocVQA,Yes*,Retriever-Generator,RAG-Qwen2.5-VL,73.7,39.9,-,-,-,-,-,
32,Self-Attention Scoring,No,Retriever-Generator,Pix2Struct-SA proposed,61.99,-,-,-,-,-,-,
35,VDocRAG,No*,Retriever-Generator,VDocRAG,-,44,-,-,-,-,42,"Table 4 ""all"" column"
37,DREAM,No,Retriever-Generator,DREAM† (InternVL2-4B + retrieved text),85.72,52.14,-,27.3,28.6,-,-,"DREAM† variant uses MLLM-extracted text context; base DREAM (no text context): MP-DocVQA 82.48, DUDE 48.32, MMLongBench-Doc ACC 25.5 / F1 26.2; LongDocURL and SlideVQA not tested"
38,MM-Doc-R1,Yes*,Agentic Pipeline,MM-Doc-R1 (Qwen3-8B + SPO),-,-,-,49.7,46.1,-,-,"Only MMLongBench-Doc reported; LongDocURL used as 300-sample validation set during RL, not main eval; MP-DocVQA, DUDE, SlideVQA not tested"
39,SV-RAG,No,Retriever-Generator,SV-RAG-InternVL2† R5 (4B),71.0,45.0,-,23.0,24.2,31.98,-,"SlideVQA reported as MP-SlideVQA EM=31.98 (with PNLS=0.59 instead of F1); MP-DocVQA and DUDE values rescaled from paper's 0-1 ANLS to 0-100; LongDocURL not tested"
40,SLEUTH,No,Agentic Pipeline,SLEUTH (Qwen3-VL-8B + ColPali Top-5),-,-,59.96,52.77,-,-,-,"Avg accuracy reported on MMLongBench-Doc (52.77) and LongDocURL (Loc 53.63 / Und 65.67 / Reas 52.99 / Avg 59.96); no F1 reported in main table; MP-DocVQA, DUDE, SlideVQA not tested; also tested on PaperTab and FetaTab (non-standard)"
41,MM-R5,No,Retriever-Generator,MM-R5 (Qwen2.5-VL-7B SFT+GRPO),-,-,-,-,-,-,-,"Reranker only; evaluated on MMDocIR (not in our standard 5 benchmarks); Recall@1 Macro 0.6951 / Micro 0.6759, Recall@5 Macro 0.8842 / Micro 0.8755; not directly comparable to QA accuracy benchmarks"
42,VisDoMRAG,Yes*,Retriever-Generator,VisDoMRAG (ChatGPT-4o + ColPali + BGE),-,-,-,-,-,-,67.22,"VisDoMBench introduces a multi-document SlideVQA split with Word Overlap F1 metric (not standard SlideVQA EM/F1); SlideVQA value here is from VisDoMBench multi-doc setup, not standard SlideVQA; other 4 benchmarks not tested in standard form (paper also tests PaperTab, FetaTab, SciGraphQA, SPIQA via VisDoMBench)"
43,VRAG-RL,No,Agentic Pipeline,VRAG-RL (Qwen2.5-VL-7B-Instruct),-,-,-,-,-,-,-,"Different evaluation methodology (binary 0/1 model-based judgment, not standard ANLS/EM/Acc/F1); SlideVQA reported as Single-hop=69.3 / Multi-hop=43.1 splits; MMLongBench-Doc reported by evidence type (Text=26.1, Table=26.3, Chart=24.8, Figure=25.9, Layout=21.2); also tested on ViDoSeek (Extraction=60.6, Logic=74.8); overall score 57.1 averaged across SlideVQA + ViDoSeek + MMLongBench"
44,URaG,No,Backbone-Centric MLLM Adaptation,URaG-7B,88.2,57.6,52.2,33.8,32.8,72.1,-,"SlideVQA reported as EM (paper's specified metric for SlideVQA); SlideVQA F1 not reported. Smaller URaG-3B variant: MP-DocVQA 86.0, DUDE 54.1, LongDocURL 41.5, MMLongBench-Doc Acc 31.1 / F1 28.7, SlideVQA EM 63.8"
45,DocSeeker,No,Backbone-Centric MLLM Adaptation,DocSeeker (full SFT + EviGRPO),86.2,57.4,51.7,40.1,-,-,77.1,"SlideVQA reported as F1 (paper's choice); MMLongBench-Doc F1 not separately reported in main table. DocSeeker-SFT (SFT-only variant): MP-DocVQA 82.1, DUDE 56.8, LongDocURL 49.1, MMLongBench-Doc Acc 38.6, SlideVQA F1 75.2"
