Name,Bibtex,Multi / Single Page,Type,Conf\Journal,Year,Description,Domain,# Documents,Avg # Pages,Min/Max Pages,Num Q/A,Modalities,Question Types,Answer Types,Multi/Single Hop
Doc-750K,duan2025docopilot,Multi,SFT Dataset,CVPR (Docopilot),2025,"Large-scale document-level multimodal dataset from Sci-Hub, Arxiv, and OpenReview with real QA pairs derived from document structure for training native document understanding models.","Scientific/Academic (Sci-Hub, Arxiv, OpenReview)","~251,000 conversations","Variable (avg. 6,178 image tokens ~ multi-page)",Variable,"758,000","Text, Layout, Tables, Figures, Equations","Abstract writing, Paper titling, Caption writing, Experiment writing, Translation, Document QA","Generative (open-ended, multi-turn)",Multi + Single
DUDE,van2023document,Multi,Benchmark,ICCV,2023,"Multi-page, multi-domain, multi-industry DocVQA benchmark with diverse question types including extractive, abstractive, list, and not-answerable questions.","Cross-domain (Medical, Legal, Technical, Financial, Government, etc.)",5019,5.72,1/~200+,"41,541","Text, Layout, Tables, Lists, Figures, Charts, Maps, Handwriting","Extractive, Abstractive, Counting, Arithmetic, Comparison, Layout-navigating, Multi-hop","Extractive, Abstractive, List, None/Not-answerable",Multi + Single
LongDocURL,deng2025longdocurl,Multi,Benchmark,ACL,2024,"Comprehensive benchmark integrating Understanding, Reasoning, and Locating tasks with 20 sub-tasks, covering 396 documents averaging 85.6 pages from CommonCrawl.","Cross-domain (Research Reports, User Manuals, Books, Theses, Work Summaries, Presentations, Project Proposals, Meeting Minutes)",396,85.6,50/150,"2,325","Text, Layout, Tables, Figures/Charts","Understanding, Numerical Reasoning, Cross-element Locating","Short-form (String, Integer, Float, List, None)",Multi + Single
M-LongDoc,chia2025m,Multi,Benchmark + Training,EMNLP,2025,Benchmark for super-long multimodal document understanding with open-ended questions requiring in-depth reasoning over documents averaging 210.8 pages.,"Cross-domain (Academic/CS, Financial, Product Manuals)",180,210.8,Not specified (hundreds of pages),851,"Text, Tables, Figures","Analytical reasoning, Technical analysis, Domain knowledge, Visual interpretation","Generative, Open-ended explanations (avg. 180.3 tokens)",Single
M3DocVQA,cho2025m3docvqa,Multi,Benchmark,CVPR,2024,"First open-domain multi-modal, multi-page, multi-document VQA benchmark requiring retrieval across 3,368 PDF documents (Wikipedia) to answer questions.",General Knowledge (Wikipedia),3368,12.2,Not specified,"2,441","Text, Tables, Images","Single-hop, Multi-hop, Multi-modal reasoning",Short-form extractive (avg. 7.1 characters),Multi + Single
MM-NIAH,wang2024needle,Multi,Benchmark,NeurIPS,2024,First benchmark for systematically evaluating MLLMs on long multimodal document comprehension via needle-in-a-haystack tasks with text and image needles.,Synthetic (constructed from OBELICS interleaved image-text data),Synthetic (variable),N/A (1K-72K tokens),"N/A (context length: 1K-72K tokens, up to 36 images)","~16,486","Text, Images (interleaved)","Retrieval, Counting, Reasoning","Open-ended, Multi-choice, List",Multi + Single
MMLongBench-Doc,ma2024mmlongbench,Multi,Benchmark,NeurIPS,2024,"Long-context multimodal document understanding benchmark with 1,082 expert-annotated questions over 135 lengthy PDF documents across 7 document types.","Cross-domain (Research Reports, Financial Reports, Academic Papers, Brochures, Guidelines, Admin/Industry Files, Tutorials)",135,47.5,15/~200+,"1,082","Text, Layout, Tables, Charts, Images","Factual, Reasoning, Cross-page comprehension, Unanswerable detection","Short-form (String, Integer, Float, List)",Multi + Single
MMVQA,ding2024mmvqa,Multi,Training + Benchmark,IJCAI,2024,"Multipage multimodal information retrieval dataset for PDF-based VQA on research journal articles, retrieving paragraphs, tables, and figures as answers.",Biomedical (PubMed),3146,~9.6,Not specified,"262,928","Text, Layout, Tables, Figures, Figure Captions, Table Captions","Content-based (paragraph, table, figure questions across sections)","Entity-level retrieval (Paragraphs, Tables, Figures)",Multi + Single
MP-DocVQA,tito2023hierarchical,Multi,Training + Benchmark,PR,2022,Extension of SingleDocVQA to multi-page setting; questions posed over documents with 1-20 pages from the UCSF Industry Documents Library.,Industry,5928,8.27,Jan-20,"46,176","Text, Layout, Tables, Forms, Figures, Handwriting","Extractive, Factual","Extractive, Short-form",Single
SlideVQA,tanaka2023slidevqa,Multi,Training + Benchmark,AAAI,2023,"Multi-image document VQA dataset of slide decks requiring single-hop, multi-hop, and numerical reasoning, with annotated arithmetic expressions and bounding boxes.",Presentations (39 topics),2619,20,20/20,"14,484","Text, Layout, Tables, Figures, Charts, Images, Diagrams","Single-hop, Multi-hop, Numerical reasoning","Extractive (Single-span, Multi-span, Non-span)",Multi + Single
