ID,Model,Bibtex,Venue,Dependencies,Relationship,OCR,Architecture,OCR Engine,Prompt Strategies,Search Strategies,Agentic ,Modality,Vision Encoder,LLM/MLLM,Downstream Task,LLM Role,Key Technique,Model Architecture,Dataset,,,Pretraining,Instruct / Fine Tuning,Domain
,,,,,,,,,,,,,,,,,,,Pretraining (No Instruct),Instruct-Tuning,Inference,,,
6,Doc-V*,zheng2026docvstar,preprint,Qwen-2.5-VL; ColQwen; GRPO; GPT-4o (teacher),VLM backbone; external visual retriever; RL algorithm; teacher for SFT trajectory distillation,No,Agentic Pipeline,N/A,ReAct,Dense,Open,V,ColQwen,Qwen2.5-VL-7B-Instruct,QA,"S OCR-free agent initialised from Qwen2.5-VL-7B-Instruct performs ReAct-style think-action reasoning; three actions: retrieval_page (query-based semantic retrieval via ColQwen), fetch_page (direct index-based page fetch), answer (terminate). Structured <think> with <analysis>/<plan>/<summary> blocks; working memory accumulates summaries",Sequential evidence aggregation via active perception: Global Thumbnail Overview (256x256 per page in grid) gives structural prior; agent alternates between structured visual reasoning and document navigation; two-stage training: SFT on 9019 GPT-4o-distilled trajectories + GRPO RL with reward = 0.6*answer + 0.3*evidence + 0.1*format,Qwen-2.5-VL architecture (ViT + MLP projector + LLM backbone); pre-computes and caches visual tokens per page at up to 1024x768 native resolution; agent dynamically requests pages via retrieval/fetch actions; working memory concatenates historical summaries,N/A (uses pretrained Qwen-2.5-VL-7B-Instruct),"Stage 1 SFT: 9,019 GPT-4o-distilled trajectories from MP-DocVQA + DUDE. Stage 2 GRPO: 2,048 filtered non-overlapping examples with easy/medium/hard stratification","In-Domain: MP-DocVQA, DUDE. Out-of-Domain: SlideVQA, LongDocURL, MMLongBench-Doc",N/A,Two-stage training: (1) SFT on 9019 high-quality trajectories (format validity + answer correctness + evidence sanity filtering) distilled from GPT-4o; (2) GRPO with composite reward (answer 0.6 + evidence 0.3 + format 0.1),"VRD, multi-page (academic papers, financial reports, industrial manuals, slides)"
7,DocAgent,sun2025docagent,EMNLP,RAG; ReAct; CoT (Chain-of-Thought); LLaMA 3,extends; agent loop pattern; reasoning traces; LLM backbone,Yes,Agentic Pipeline,Adobe PDF Extract,ReAct,Joint,Open,"T, V, L",N/A (LLM Backbone used directly),"Gemini 2.0 Flash, GPT-4o, Claude Sonnet 3.5",QA,"Reasoning engine for all 3 agents: plans tool calls, reads retrieved multimodal content, generates answers, cross-checks answers, synthesises verbal memory guidelines","Multi-agent framework mimicking human reading, extracts a hierarchical XML tree-structured outline from the document, then use an actor agent with 5 retrieval tools to gather evidence, reviewer agent cross-checks answers from complementary sources/modalities, reflection-based memory bank for knowledge transfer across tasks","Training-free pipeline: 1. Outline construction (adobe PDF extract --> XML tree) 2. Actor agent (LLM + 5 tools: search, get_section_content, get_image, get_page_images, get_table_image) 3. ReviewAgent (same toolset, independent trajectory) 4. Reflection Memory Module (LLM-generated verbal guidelines, cumulative string memory)",N/A,N/A,"MMLongBench-Doc, DocBench",N/A,N/A,VRD
8,DocDancer,zhang2026docdancer,preprint,Qwen3; MinerU2.5; ReAct,Uses; uses; adopts,Yes*,Agentic Pipeline,MinerU2.5,ReAct,Joint,Open,"T, V, L",Qwen3-VL-235B-A22B-Instruct,Qwen3-4B/30B-A3B,QA,"Unified agentic reasoning engine: plans tool calls via ReAct loop, reads retrieved document content, generates multi-hop answers from gathered evidence",End-to-end trained agentic DocQA model with tool-driven framework (search + read tools). Exploration-then-Synthesis data synthesis pipeline generates high-quality agentic training data. S-agent with minimal toolkit design. Observation-masked SFT loss.,"S-agent ReAct framework: Qwen3 backbone LLM generates thought-action-observation trajectories. Two tools: (1) search tool for document exploration, (2) read tool for content comprehension. MinerU2.5 pre-processes PDFs into structured representations with 17 element types. SFT with observation-masked loss.",N/A (uses pretrained Qwen3 models),,,N/A,Supervised fine-tuning on 5K synthesized agentic DocQA instances with observation-masked loss,VRD
9,DocLens,zhu2025doclens,preprint,MinerU; Gemini 2.5 Pro/Flash; Claude-4-Sonnet,document parsing tool; primary VLM backbones; alternative VLM backbone,Yes,Agentic Pipeline,MinerU,ReAct,Joint,Open,"T, V, L",N/A (frontier VLMs consume page screenshots + cropped visual elements directly),"Gemini-2.5-Pro, Gemini-2.5-Flash, Claude-4-Sonnet",QA,"4 specialised agents: Page Navigator (retrieves evidence pages via OCR-augmented VLM), Element Localizer (crops figures/tables via MinerU), Answer Sampler (Ta=8 CoT candidates at T=0.7), Adjudicator (synthesises best answer)",Tool-augmented 'Lens' approach: Page Navigator achieves ~97.3% evidence-page recall by prompting LLM with all page screenshots + OCR text interleaved and sampling Te=8 times; Element Localizer uses MinerU to crop visual elements; Sampling-adjudication mitigates hallucination,Training-free pipeline: Lens Module (Page Navigator + Element Localizer with MinerU) feeds evidence set S={page screenshot + OCR text + cropped elements} to Reasoning Module (Answer Sampler + Adjudicator),N/A (uses pretrained Gemini-2.5-Pro/Flash and Claude-4-Sonnet),N/A (training-free),"MMLongBench-Doc, FinRAGBench-V",N/A,N/A (training-free),"VRD, long visual documents, financial reports"
12,DocReact,wu2025docreact,ACL,RAG; BERT; BM25; T5,extends iteratively; dense retrieval encoder; sparse fallback; seq2seq reader,No,Agentic Pipeline,N/A,ReAct,Dense,Open,V,"ColPali, VisRAG-Ret",GPT-4o,QA,1. Generator: produce answers from retrieved multimodal page substeps 2. Judge: evaluate information gaps and generates refined sub-queries via information differentiation,Adaptive iterative retrieval framework that maximises entropy-normalised nutual information gain at each step,"Pipeline that wrap an existing MLLM (GPT-4o) and multimodal retrieval model (ColPali / VisRAG-Ret), MLLM acts as both judge and generator within ReAct-style loop",N/A,N/A,"SlideVQA, MMLongBench-Doc",N/A,N/A,VRD
22,MACT,yu2025mact,preprint,Qwen2.5-VL / MiMo-VL / InternVL3 (VLM); Qwen2.5 / MiMo / InternVL3 (LLM); GRPO; VisualPRM; Skywork-VL-Reward,VLM backbones (plan+execute agents); LLM backbones (judgment+answer agents); RL algorithm; process reward model; outcome reward model,No,Agentic Pipeline,N/A,ReAct,Dense,Open ,V,Qwen2.5-VL-7B-Instruct / MiMo-VL-7B-SFT / InternVL3-9B (VLM for plan+execute agents),Plan/Exec: Qwen2.5-VL-7B or MiMo-VL-7B-SFT or InternVL3-9B; Judge/Answer: Qwen2.5-7B/3B or MiMo-7B-SFT or InternVL3-8B/2B,QA,Planning Agent (VLM) analyses question and produces Np high-level plans via analogical prompting; Execution Agent (VLM) executes step-by-step with Ne candidates per step scored by process reward model; Judgment Agent (LLM) verifies correctness and redirects to prior agents (Nc<=3); Answer Agent (LLM) summarises final answer,"Four-agent collaboration with agent-wise hybrid test-time scaling: Planning (parallel Np), Execution (sequential Ne candidates with PRM), Judgment (budget forcing internal scaling), Answer (no scaling). Mixed reward = per-agent rewards + global outcome reward via GRPO","Three MACT variants: Qwen2.5-VL-Series-24B, MiMo-VL-Series-28B, InternVL3-Series-28B (each with VLM for plan/exec + LLM for judge/answer)",N/A (uses pretrained base VLMs/LLMs),Stage 1 SFT: VLM tuned on document/non-document datasets with/without CoT; Judgment LLM tuned on GPT-4o-generated labels + rule-based verifications; Answer LLM tuned on ground-truth summaries,"DocVQA, DUDE, SlideVQA, MMLongBench-Doc, VisualMRC, InfographicVQA, ChartQA, CharXiv, TableVQA-Bench, TableBench, ScienceQA, RealWorldQA, MathVista, Math-Vision, MathVerse",N/A,Two-stage pipeline: (1) SFT per agent on targeted task; (2) RL with GRPO using VisualPRM (process reward for plan/execute) + Skywork-VL-Reward (outcome reward for judgment/answer) with mixed agent-specific + global reward,"VRD (text, webpage, chart, table) + general + mathematical reasoning"
33,SimpleDoc,jain2025simpledoc,EMNLP,ColQwen-2.5 (ColPali); Qwen2.5-VL-32B-Ins; Qwen3-30B-A3B,visual retrieval embedding model; VLM for summarisation/reasoning; text-only LLM for summary re-ranking,Yes*,Agentic Pipeline,N/A,CoT,Joint,Open,"T, V",ColQwen-2.5,"Qwen2.5-VL-32B-Instruct, Qwen3-30B-A3B",QA,Qwen2.5-VL-32B-Ins as VLM reasoner agent and per-page summariser; Qwen3-30B-A3B as text-only LLM for summary-based re-ranking and decision making,"Dual-cue page retrieval: offline indexes each page via ColQwen-2.5 dense embedding + VLM-generated semantic summary; online retrieves top-k=30 by embedding, re-ranks via LLM over summaries; reasoner iteratively refines query via working memory if evidence insufficient",Two-stage pipeline: (1) offline pre-processing (ColQwen-2.5 embeddings + Qwen2.5-VL-32B summaries per page) + (2) online iterative QA loop with dual-cue retriever + memory-guided reasoner,N/A (uses pretrained ColQwen-2.5 and Qwen models),N/A (training-free; no additional fine-tuning),"MMLongBench, LongDocURL, PaperTab, FetaTab",N/A (training-free),N/A (training-free),"Multi-page VRD, tabular"
36,ViDoRAG,wang2025vidorag,EMNLP,RAG; ColPali; Qwen2-VL; ReAct; BM25,extends retrieval; visual retrieval; answer generation backbone; agentic reasoning pattern; sparse retrieval,Yes*,Agentic Pipeline,PPOCR,ReAct,Joint,Open,"T, V","Nv-embed-V2, ColQwen2","Qwen2.5-VL, LLaMA3.2-Vision, GPT-4o",QA,Inference-only; LLMs like Qwen2.5-VL used as agents in prompt-driven generation,"Multi-agent iterative reasoning (Seeker, Inspector, Answer agents); GMM-based dynamic hybrid retrieval (Text + Vision)",Multi-agent RAG framework + GMM-based hybrid retriever,N/A,N/A,"ViDoSeek, SlideVQA-refined",N/A,N/A,VRD
3,CoR,guo2026end,preprint,Qwen2.5-VL; LoRA; DPO,Extends; uses; uses,Yes*,Backbone-Centric MLLM Adaptation,Localised (Qwen-2.5-VL),CoT,N/A,N/A,"T, V",Qwen2.5-VL,Qwen2.5-VL-7B,QA,"End-to-end document reader and reasoner: directly consumes PDF page images, performs structured locate-then-reason via CoR traces, generates answers with explicit evidence chain","End-to-end document reader and reasoner: directly consumes PDF page images, performs structured locate-then-reason via CoR traces, generates answers with explicit evidence chain","Qwen2.5-VL-7B base. Stage 1: LoRA (r=16, alpha=32) on language model + projector, vision encoder frozen. Stage 2: full-parameter SFT on LM + projector with CoR-Dataset (26K QA pairs) and Mask-AR data, vision encoder frozen. Stage 3: DPO with LoRA (r=8) using hybrid sigmoid+robust loss on 5K preference pairs.",N/A (Qwen2.5-VL-7B pretrained),,,N/A,Stage 1: LoRA SFT on public doc datasets. Stage 2: Full-param SFT on CoR-Dataset + Mask-AR. Stage 3: DPO with hybrid loss on 5K preference pairs.,"VRD: academic, financial, legal, technical documents"
