ID,Name,Bibtex,Pages,Type,Venue,Year,Description,Domain,# Documents,Avg # Pages,Min/Max Pages,Num Q/A,Modalities,Question Types,Answer Types,Multi/S Hop,Metrics,
1,Doc-750K,duan2025docopilot,MP,FT,CVPR,2025,"Large-scale document-level multimodal dataset from Sci-Hub, Arxiv, and OpenReview with real QA pairs derived from document structure for training native document understanding models.","Scientific/Academic (Sci-Hub, Arxiv, OpenReview)",-,"Variable (avg. 6,178 image tokens ~ multi-page)",Variable,"758,000","Text, Layout, Tables, Figures, Equations","Abstract writing, Paper titling, Caption writing, Experiment writing, Translation, Document QA","Generative (open-ended, multi-turn)",M+S,"Accuracy, F1, ANLS, ROUGE-L, EM, Title/Abstract Edit Distance",
2,DUDE,van2023dude,MP,BM,ICCV,2023,"Multi-page, multi-domain, multi-industry DocVQA benchmark with diverse question types including extractive, abstractive, list, and not-answerable questions.","Cross-domain (Medical, Legal, Technical, Financial, Government, etc.)",5019,5.72,1/~200+,"41,541","Text, Layout, Tables, Lists, Figures, Charts, Maps, Handwriting","Extractive, Abstractive, Counting, Arithmetic, Comparison, Layout-navigating, Multi-hop","Extractive, Abstractive, List, None/Not-answerable",M+S,"ANLS (τ=0.5), Expected Calibration Error (ECE), Area-Under-Risk-Coverage-Curve (AURC)",
3,LongDocURL,deng2025longdocurl,MP,BM,ACL,2024,"Comprehensive benchmark integrating Understanding, Reasoning, and Locating tasks with 20 sub-tasks, covering 396 documents averaging 85.6 pages from CommonCrawl.","Cross-domain (Research Reports, User Manuals, Books, Theses, Work Summaries, Presentations, Project Proposals, Meeting Minutes)",396,85.6,50/150,"2,325","Text, Layout, Tables, Figures/Charts","Understanding, Numerical Reasoning, Cross-element Locating","Short-form (String, Integer, Float, List, None)",M+S,"Generalized Accuracy (3-stage protocol: generation, answer extraction, category-specific scoring)",
4,M-LongDoc,chia2025m,MP,PT+BM,EMNLP,2025,"Benchmark for super-long multimodal document understanding with open-ended questions requiring in-depth reasoning over documents averaging 210.8 pages.","Cross-domain (Academic/CS, Financial, Product Manuals)",180,210.8,Not specified (hundreds of pages),851,"Text, Tables, Figures","Analytical reasoning, Technical analysis, Domain knowledge, Visual interpretation","Generative, Open-ended explanations (avg. 180.3 tokens)",S,"Correctness score 1-5 via multi-judge (Claude 3.5, GPT-4o, Gemini 1.5 Pro)",
5,M3DocVQA,cho2025m3docvqa,MP,BM,CVPR,2024,"First open-domain multi-modal, multi-page, multi-document VQA benchmark requiring retrieval across 3,368 PDF documents (Wikipedia) to answer questions.",General Knowledge (Wikipedia),3368,12.2,Not specified,"2,441","Text, Tables, Images","S-hop, Multi-hop, Multi-modal reasoning",Short-form extractive (avg. 7.1 characters),M+S,"Accuracy (extracted answer), Page-retrieval Accuracy",
6,MM-NIAH,wang2024mmniah,MP,BM,NeurIPS,2024,"First benchmark for systematically evaluating MLLMs on long multimodal document comprehension via needle-in-a-haystack tasks with text and image needles.",Synthetic (constructed from OBELICS interleaved image-text data),-,N/A (1K-72K tokens),"N/A (context length: 1K-72K tokens, up to 36 images)","~16,486","Text, Images (interleaved)","Retrieval, Counting, Reasoning","Open-ended, Multi-choice, List",M+S,"Accuracy (per-task and across context-length × needle-depth heatmap)",
7,MMLongBench-Doc,ma2024mmlongbench,MP,BM,NeurIPS,2024,"Long-context multimodal document understanding benchmark with 1,082 expert-annotated questions over 135 lengthy PDF documents across 7 document types.","Cross-domain (Research Reports, Financial Reports, Academic Papers, Brochures, Guidelines, Admin/Industry Files, Tutorials)",135,47.5,15/~200+,"1,082","Text, Layout, Tables, Charts, Images","Factual, Reasoning, Cross-page comprehension, Unanswerable detection","Short-form (String, Integer, Float, List)",M+S,"Generalized Accuracy, Generalized F1 (ANLS-like rules for short-form answers)",
8,MMVQA,ding2024mmvqa,MP,PT+BM,IJCAI,2024,"Multipage multimodal information retrieval dataset for PDF-based VQA on research journal articles, retrieving paragraphs, tables, and figures as answers.",Biomedical (PubMed),3146,~9.6,Not specified,"262,928","Text, Layout, Tables, Figures, Figure Captions, Table Captions","Content-based (paragraph, table, figure questions across sections)","Entity-level retrieval (Paragraphs, Tables, Figures)",M+S,"Exact Match (EM), Partial Matching (PM), Multi-Label Recall (MR)",
9,MP-DocVQA,tito2023hierarchical,MP,PT+BM,PR,2022,"Extension of SDocVQA to multi-page setting; questions posed over documents with 1-20 pages from the UCSF Industry Documents Library.",Industry,5928,8.27,1/20,"46,176","Text, Layout, Tables, Forms, Figures, Handwriting","Extractive, Factual","Extractive, Short-form",S,"ANLS, Accuracy",
10,SlideVQA,tanaka2023slidevqa,MP,PT+BM,AAAI,2023,"Multi-image document VQA dataset of slide decks requiring single-hop, multi-hop, and numerical reasoning, with annotated arithmetic expressions and bounding boxes.",Presentations (39 topics),2619,20,20/20,"14,484","Text, Layout, Tables, Figures, Charts, Images, Diagrams","Single-hop, Multi-hop, Numerical reasoning","Extractive (single-span, multi-span, non-span)",M+S,"Exact Match (EM), F1, Joint Exact Match (JEM), Joint F1 (JF1)",
